segmentId_DB,ChildID,Age_months_actual,filename,Starttime,Endtime,Major_Choice,Num_Agreement
15339.DB2,3211_1,7.13,20180419_111712_022875,20276.2,20279.31,Don't mark,3
16213.DB2,3211_1,7.13,20180419_111712_022875,20283.21,20283.88,Don't mark,3
17390.DB2,3211_1,7.13,20180419_111712_022875,20287.08,20288.38,Don't mark,3
17324.DB2,3211_1,7.13,20180419_111712_022875,20292.29,20293.44,Canonical syllables,2
17362.DB2,3211_1,7.13,20180419_111712_022875,20294.48,20295.48,Don't mark,3
15916.DB2,3211_1,7.13,20180419_111712_022875,20297.09,20298.09,Don't mark,3
15669.DB2,3211_1,7.13,20180419_111712_022875,20298.09,20298.92,Don't mark,2
15540.DB2,3211_1,7.13,20180419_111712_022875,20301.81,20302.79,Don't mark,3
16686.DB2,3211_1,7.13,20180419_111712_022875,20305.43,20306.59,Don't mark,3
17230.DB2,3211_1,7.13,20180419_111712_022875,20308.89,20309.94,Don't mark,3
16834.DB2,3211_1,7.13,20180419_111712_022875,20314.17,20315.2,Don't mark,2
14994.DB2,3211_1,7.13,20180419_111712_022875,20316,20318.14,Don't mark,3
15595.DB2,3211_1,7.13,20180419_111712_022875,20327.42,20328.03,Don't mark,3
15058.DB2,3211_1,7.13,20180419_111712_022875,20328.03,20329.03,Don't mark,3
17012.DB2,3211_1,7.13,20180419_111712_022875,20329.03,20329.98,Don't mark,2
16506.DB2,3211_1,7.13,20180419_111712_022875,21835.76,21836.41,Non-canonical syllables,2
17389.DB2,3211_1,7.13,20180419_111712_022875,21838.09,21838.82,Non-canonical syllables,2
15716.DB2,3211_1,7.13,20180419_111712_022875,21861.69,21862.29,Non-canonical syllables,3
16076.DB2,3211_1,7.13,20180419_111712_022875,21865.36,21866.01,Canonical syllables,2
16546.DB2,3211_1,7.13,20180419_111712_022875,21871.26,21872.54,Non-canonical syllables,2
15019.DB2,3211_1,7.13,20180419_111712_022875,21886.1,21887.71,Canonical syllables,3
15706.DB2,3211_1,7.13,20180419_111712_022875,21889.27,21890.75,Canonical syllables,3
15199.DB2,3211_1,7.13,20180419_111712_022875,21891.9,21892.63,Canonical syllables,3
16231.DB2,3211_1,7.13,20180419_111712_022875,21897.3,21899.16,Canonical syllables,3
15956.DB2,3211_1,7.13,20180419_111712_022875,21900.2,21902.25,Non-canonical syllables,3
16185.DB2,3211_1,7.13,20180419_111712_022875,21903.22,21904.73,Canonical syllables,3
15758.DB2,3211_1,7.13,20180419_111712_022875,21905.53,21906.24,Non-canonical syllables,2
16128.DB2,3211_1,7.13,20180419_111712_022875,21907.04,21908.11,Canonical syllables,3
14804.DB2,3211_1,7.13,20180419_111712_022875,21913.22,21913.99,Canonical syllables,3
16117.DB2,3211_1,7.13,20180419_111712_022875,21921.87,21922.55,Don't mark,2
16668.DB2,3211_1,7.13,20180419_111712_022875,21924.87,21925.88,Non-canonical syllables,3
16150.DB2,3211_1,7.13,20180419_111712_022875,21927.8,21928.59,Non-canonical syllables,3
17060.DB2,3211_1,7.13,20180419_111712_022875,21950.65,21952.02,Canonical syllables,3
15794.DB2,3211_1,7.13,20180419_111712_022875,21962.03,21963.29,Canonical syllables,3
15140.DB2,3211_1,7.13,20180419_111712_022875,21971.58,21972.58,Canonical syllables,3
14733.DB2,3211_1,7.13,20180419_111712_022875,21972.58,21973.19,Non-canonical syllables,3
15887.DB2,3211_1,7.13,20180419_111712_022875,21979.52,21980.12,Canonical syllables,3
15261.DB2,3211_1,7.13,20180419_111712_022875,21992.78,21993.38,Canonical syllables,2
17008.DB2,3211_1,7.13,20180419_111712_022875,21995.23,21997.1,Canonical syllables,3
15187.DB2,3211_1,7.13,20180419_111712_022875,22018.63,22019.52,Canonical syllables,3
15799.DB2,3211_1,7.13,20180419_111712_022875,22021.23,22021.88,Canonical syllables,3
16549.DB2,3211_1,7.13,20180419_111712_022875,22043.48,22044.18,Canonical syllables,2
16130.DB2,3211_1,7.13,20180419_111712_022875,22080.47,22081.13,Non-canonical syllables,2
16335.DB2,3211_1,7.13,20180419_111712_022875,22091.86,22092.85,Non-canonical syllables,3
15477.DB2,3211_1,7.13,20180419_111712_022875,22107.94,22108.61,Non-canonical syllables,3
16739.DB2,3211_1,7.13,20180419_111712_022875,22110.27,22110.87,Canonical syllables,3
15922.DB2,3211_1,7.13,20180419_111712_022875,22121.65,22122.81,Canonical syllables,2
16298.DB2,3211_1,7.13,20180419_111712_022875,22123.87,22125.42,Canonical syllables,3
16063.DB2,3211_1,7.13,20180419_111712_022875,22126.37,22127.42,Canonical syllables,3
16110.DB2,3211_1,7.13,20180419_111712_022875,22134.7,22135.3,Don't mark,2
17364.DB2,3211_1,7.13,20180419_111712_022875,24269.38,24269.98,Non-canonical syllables,2
17207.DB2,3211_1,7.13,20180419_111712_022875,24283.05,24283.68,Non-canonical syllables,3
14706.DB2,3211_1,7.13,20180419_111712_022875,24345.06,24345.7,Canonical syllables,2
15847.DB2,3211_1,7.13,20180419_111712_022875,24433.56,24434.16,Canonical syllables,3
16184.DB2,3211_1,7.13,20180419_111712_022875,24472.15,24472.75,Non-canonical syllables,3
17093.DB2,3211_1,7.13,20180419_111712_022875,24476.45,24477.09,Non-canonical syllables,3
15700.DB2,3211_1,7.13,20180419_111712_022875,24480.99,24481.81,Canonical syllables,3
15544.DB2,3211_1,7.13,20180419_111712_022875,24524.41,24525.4,Don't mark,3
15665.DB2,3211_1,7.13,20180419_111712_022875,29368.89,29376.4,Crying,3
16704.DB2,3211_1,7.13,20180419_111712_022875,29380.21,29383.04,Crying,3
16288.DB2,3211_1,7.13,20180419_111712_022875,29384.84,29386.21,Non-canonical syllables,3
16810.DB2,3211_1,7.13,20180419_111712_022875,29387.02,29389.11,Non-canonical syllables,2
14966.DB2,3211_1,7.13,20180419_111712_022875,29389.93,29392.62,Non-canonical syllables,2
14983.DB2,3211_1,7.13,20180419_111712_022875,29393.42,29394.02,Don't mark,3
14875.DB2,3211_1,7.13,20180419_111712_022875,29425.07,29425.67,None,0
15093.DB2,3211_1,7.13,20180419_111712_022875,29438.51,29439.99,Non-canonical syllables,3
15976.DB2,3211_1,7.13,20180419_111712_022875,29444.96,29445.82,Don't mark,3
17209.DB2,3211_1,7.13,20180419_111712_022875,29458.11,29458.71,Don't mark,2
15547.DB2,3211_1,7.13,20180419_111712_022875,29461.46,29462.35,Non-canonical syllables,2
16879.DB2,3211_1,7.13,20180419_111712_022875,29463.32,29464.81,Don't mark,3
17332.DB2,3211_1,7.13,20180419_111712_022875,29466.62,29467.38,Non-canonical syllables,3
14880.DB2,3211_1,7.13,20180419_111712_022875,29503.88,29504.76,Non-canonical syllables,2
14987.DB2,3211_1,7.13,20180419_111712_022875,29505.76,29508.19,Crying,2
14929.DB2,3211_1,7.13,20180419_111712_022875,29508.99,29510.3,Crying,2
16094.DB2,3211_1,7.13,20180419_111712_022875,29518.81,29519.41,Non-canonical syllables,2
17267.DB2,3211_1,7.13,20180419_111712_022875,29529.91,29530.52,Non-canonical syllables,3
17076.DB2,3211_1,7.13,20180419_111712_022875,29549.05,29549.69,Non-canonical syllables,3
16603.DB2,3211_1,7.13,20180419_111712_022875,29552.56,29553.38,Non-canonical syllables,2
14881.DB2,3211_1,7.13,20180419_111712_022875,29582.8,29583.41,Canonical syllables,3
16449.DB2,3211_1,7.13,20180419_111712_022875,29600.04,29600.81,Canonical syllables,3
16855.DB2,3211_1,7.13,20180419_111712_022875,29604.08,29605,Canonical syllables,2
15311.DB2,3211_1,7.13,20180419_111712_022875,29605.83,29606.43,Canonical syllables,3
