idx,AudioData,Answer,Age,ChildID
491,1675709093,Junk,420,2931_1
492,1675709093,Junk,420,2931_1
493,1675709093,Junk,420,2931_1
494,1675709093,Junk,420,2931_1
495,6835485438,Non-Canonical,420,2931_1
496,6835485438,Junk,420,2931_1
497,6835485438,Junk,420,2931_1
498,6835485438,Non-Canonical,420,2931_1
499,6835485438,Laughing,420,2931_1
500,3004013762,Laughing,420,2931_1
501,3004013762,Non-Canonical,420,2931_1
502,3004013762,Non-Canonical,420,2931_1
503,3004013762,Crying,420,2931_1
504,3004013762,Laughing,420,2931_1
505,1062502442,Canonical,420,2931_1
506,1062502442,Junk,420,2931_1
507,1062502442,Junk,420,2931_1
508,1062502442,Non-Canonical,420,2931_1
509,1062502442,Junk,420,2931_1
510,4042983901,Canonical,420,2931_1
511,4042983901,Laughing,420,2931_1
512,4042983901,Junk,420,2931_1
513,4042983901,Laughing,420,2931_1
514,4042983901,Non-Canonical,420,2931_1
515,3668283374,Junk,420,2931_1
516,3668283374,Non-Canonical,420,2931_1
517,3668283374,Non-Canonical,420,2931_1
518,3668283374,Laughing,420,2931_1
519,3668283374,Junk,420,2931_1
520,7526005168,Non-Canonical,420,2931_1
521,7526005168,Non-Canonical,420,2931_1
522,7526005168,Non-Canonical,420,2931_1
523,7526005168,Non-Canonical,420,2931_1
524,7526005168,Non-Canonical,420,2931_1
525,3426469123,Non-Canonical,420,2931_1
526,3426469123,Non-Canonical,420,2931_1
527,3426469123,Crying,420,2931_1
528,3426469123,Junk,420,2931_1
529,3426469123,Laughing,420,2931_1
530,1180424982,Junk,420,2931_1
531,1180424982,Junk,420,2931_1
532,1180424982,Junk,420,2931_1
533,1180424982,Junk,420,2931_1
534,1180424982,Junk,420,2931_1
535,2946629362,Junk,420,2931_1
536,2946629362,Non-Canonical,420,2931_1
537,2946629362,Canonical,420,2931_1
538,2946629362,Non-Canonical,420,2931_1
539,2946629362,Junk,420,2931_1
540,2355035599,Junk,420,2931_1
541,2355035599,Junk,420,2931_1
542,2355035599,Junk,420,2931_1
543,2355035599,Junk,420,2931_1
544,2355035599,Junk,420,2931_1
545,495031085,Junk,420,2931_1
