idx,segmentId_DB,ChildID,Age,filename,Starttime,Endtime,Major_Choice,Num_Agreement,Zoon_classif
3948,16806.DB2,3291_1,18.73,20180530_180405_024879,39967.31,39967.91,Don't mark,3,Junk
3949,16225.DB2,3291_1,18.73,20180530_180405_024879,39969.07,39969.67,Canonical syllables,3,Junk
3950,15633.DB2,3291_1,18.73,20180530_180405_024879,39971.73,39972.96,Don't mark,2,Junk
3951,15807.DB2,3291_1,18.73,20180530_180405_024879,39977.16,39977.76,Don't mark,3,Non-Canonical
3952,14856.DB2,3291_1,18.73,20180530_180405_024879,39988.18,39988.98,Don't mark,3,Junk
3953,15382.DB2,3291_1,18.73,20180530_180405_024879,39992.35,39992.96,Don't mark,3,Junk
3954,16223.DB2,3291_1,18.73,20180530_180405_024879,39998.28,39998.94,Non-canonical syllables,2,Junk
3955,14754.DB2,3291_1,18.73,20180530_180405_024879,40003.07,40005.12,Don't mark,2,Crying
3956,17358.DB2,3291_1,18.73,20180530_180405_024879,40007.6,40008.2,Canonical syllables,2,Junk
3957,15507.DB2,3291_1,18.73,20180530_180405_024879,40020.15,40021.12,Don't mark,3,Junk
3958,17146.DB2,3291_1,18.73,20180530_180405_024879,40022.9,40024.03,Don't mark,2,Junk
3959,15819.DB2,3291_1,18.73,20180530_180405_024879,40028.03,40029.54,Non-canonical syllables,3,Crying
3960,16904.DB2,3291_1,18.73,20180530_180405_024879,40353.23,40353.83,Don't mark,2,Non-Canonical
3961,17164.DB2,3291_1,18.73,20180530_180405_024879,40409.48,40410.08,Don't mark,3,Junk
3962,16282.DB2,3291_1,18.73,20180530_180405_024879,40420.47,40421.11,Non-canonical syllables,2,Junk
3963,16677.DB2,3291_1,18.73,20180530_180405_024879,40421.11,40422.25,None,0,Canonical
3964,15972.DB2,3291_1,18.73,20180530_180405_024879,40427.14,40428.29,Canonical syllables,3,Canonical
3965,14931.DB2,3291_1,18.73,20180530_180405_024879,40453.54,40454.22,Non-canonical syllables,3,Crying
3966,15966.DB2,3291_1,18.73,20180530_180405_024879,40474.0,40474.6,Don't mark,3,Junk
3967,17413.DB2,3291_1,18.73,20180530_180405_024879,40481.01,40481.84,Canonical syllables,2,Non-Canonical
3968,15124.DB2,3291_1,18.73,20180530_180405_024879,40488.98,40489.69,Don't mark,3,Junk
3969,16924.DB2,3291_1,18.73,20180530_180405_024879,40494.72,40495.33,Don't mark,3,Non-Canonical
3970,16596.DB2,3291_1,18.73,20180530_180405_024879,40498.58,40499.29,Canonical syllables,2,Non-Canonical
3971,17297.DB2,3291_1,18.73,20180530_180405_024879,40513.21,40513.83,Canonical syllables,3,Non-Canonical
3972,16120.DB2,3291_1,18.73,20180530_180405_024879,40560.65,40562.04,None,0,Non-Canonical
3973,14775.DB2,3291_1,18.73,20180530_180405_024879,40598.35,40600.19,Non-canonical syllables,2,Crying
3974,16898.DB2,3291_1,18.73,20180530_180405_024879,40623.44,40624.31,Non-canonical syllables,2,Non-Canonical
3975,15002.DB2,3291_1,18.73,20180530_180405_024879,40625.11,40626.27,Crying,2,Mixed_Crying_Laughing
3976,15951.DB2,3291_1,18.73,20180530_180405_024879,40628.63,40629.23,Non-canonical syllables,3,Non-Canonical
3977,16226.DB2,3291_1,18.73,20180530_180405_024879,40937.49,40938.4,Non-canonical syllables,2,Non-Canonical
3978,16693.DB2,3291_1,18.73,20180530_180405_024879,40950.15,40950.75,Non-canonical syllables,3,Crying
3979,17126.DB2,3291_1,18.73,20180530_180405_024879,40951.63,40952.25,Non-canonical syllables,3,Crying
3980,15193.DB2,3291_1,18.73,20180530_180405_024879,40953.05,40953.65,Non-canonical syllables,3,Junk
3981,16969.DB2,3291_1,18.73,20180530_180405_024879,40956.75,40957.4,Non-canonical syllables,3,Crying
3982,17191.DB2,3291_1,18.73,20180530_180405_024879,40959.24,40959.84,Non-canonical syllables,3,Junk
3983,15240.DB2,3291_1,18.73,20180530_180405_024879,40978.39,40980.22,Non-canonical syllables,3,Non-Canonical
3984,17378.DB2,3291_1,18.73,20180530_180405_024879,40983.95,40984.75,Non-canonical syllables,3,Canonical
3985,15882.DB2,3291_1,18.73,20180530_180405_024879,40986.54,40987.44,Crying,2,Crying
3986,15360.DB2,3291_1,18.73,20180530_180405_024879,40988.27,40989.17,Non-canonical syllables,3,Mixed_Crying_Canonical
3987,15989.DB2,3291_1,18.73,20180530_180405_024879,40989.17,40989.94,Non-canonical syllables,3,Junk
3988,17278.DB2,3291_1,18.73,20180530_180405_024879,41004.87,41005.88,Don't mark,2,Non-Canonical
3989,17398.DB2,3291_1,18.73,20180530_180405_024879,41017.02,41017.62,Canonical syllables,3,Canonical
3990,14944.DB2,3291_1,18.73,20180530_180405_024879,41025.72,41026.32,Non-canonical syllables,3,Canonical
3991,15344.DB2,3291_1,18.73,20180530_180405_024879,41026.32,41027.75,Canonical syllables,3,Canonical
3992,15120.DB2,3291_1,18.73,20180530_180405_024879,41028.55,41029.35,Don't mark,3,Laughing
3993,14764.DB2,3291_1,18.73,20180530_180405_024879,41031.29,41031.89,Canonical syllables,3,Laughing
3994,16035.DB2,3291_1,18.73,20180530_180405_024879,41032.7,41033.42,Non-canonical syllables,3,Non-Canonical
3995,15180.DB2,3291_1,18.73,20180530_180405_024879,41047.7,41048.69,Don't mark,2,Non-Canonical
3996,16154.DB2,3291_1,18.73,20180530_180405_024879,41052.44,41053.27,Non-canonical syllables,2,Crying
3997,15268.DB2,3291_1,18.73,20180530_180405_024879,41053.27,41054.07,Non-canonical syllables,3,Non-Canonical
3998,15735.DB2,3291_1,18.73,20180530_180405_024879,41064.0,41064.85,Don't mark,2,Mixed_Crying_Non-Canonical
3999,16106.DB2,3291_1,18.73,20180530_180405_024879,41064.85,41065.56,Non-canonical syllables,3,Canonical
4000,16227.DB2,3291_1,18.73,20180530_180405_024879,41069.25,41070.45,Non-canonical syllables,3,Non-Canonical
4001,17320.DB2,3291_1,18.73,20180530_180405_024879,41071.44,41073.1,Non-canonical syllables,3,Non-Canonical
4002,15970.DB2,3291_1,18.73,20180530_180405_024879,41074.71,41075.31,Don't mark,3,Non-Canonical
4003,17219.DB2,3291_1,18.73,20180530_180405_024879,41075.31,41076.36,Non-canonical syllables,2,Junk
4004,16342.DB2,3291_1,18.73,20180530_180405_024879,41114.49,41115.18,Non-canonical syllables,3,Crying
4005,16010.DB2,3291_1,18.73,20180530_180405_024879,41118.64,41119.57,Non-canonical syllables,3,Non-Canonical
