"startTime","itsId","endTime","LENA_type","segmentId_DB","ChildID","Age_months_actual","filename","Endtime","Major_Choice","Num_Agreement"
31694.46,"20181218_132113_024879",31695.06,"Can/non-can","3294.DB1","3131_1",21.26,"20181218_132113_024879",31695.06,"Non-canonical syllables",2
31702.95,"20181218_132113_024879",31703.9,"Can/non-can","3278.DB1","3131_1",21.26,"20181218_132113_024879",31703.9,"Non-canonical syllables",2
31705.59,"20181218_132113_024879",31706.67,"Can/non-can","7224.DB1","3131_1",21.26,"20181218_132113_024879",31706.67,"Non-canonical syllables",3
31738.71,"20181218_132113_024879",31739.31,"Can/non-can","5113.DB1","3131_1",21.26,"20181218_132113_024879",31739.31,"Canonical syllables",3
31745.83,"20181218_132113_024879",31746.43,"Crying","6807.DB1","3131_1",21.26,"20181218_132113_024879",31746.43,"Non-canonical syllables",2
31747.23,"20181218_132113_024879",31747.83,"Can/non-can","5223.DB1","3131_1",21.26,"20181218_132113_024879",31747.83,"Non-canonical syllables",3
31749.79,"20181218_132113_024879",31750.86,"Can/non-can","6567.DB1","3131_1",21.26,"20181218_132113_024879",31750.86,"Non-canonical syllables",2
31759.54,"20181218_132113_024879",31760.29,"Can/non-can","3574.DB1","3131_1",21.26,"20181218_132113_024879",31760.29,"Non-canonical syllables",3
31787.71,"20181218_132113_024879",31788.4,"Can/non-can","4229.DB1","3131_1",21.26,"20181218_132113_024879",31788.4,"Non-canonical syllables",2
31796.85,"20181218_132113_024879",31797.66,"Can/non-can","3776.DB1","3131_1",21.26,"20181218_132113_024879",31797.66,"Canonical syllables",2
31855.6,"20181218_132113_024879",31856.21,"Can/non-can","4202.DB1","3131_1",21.26,"20181218_132113_024879",31856.21,"Don't mark",2
31859.32,"20181218_132113_024879",31859.92,"Can/non-can","4667.DB1","3131_1",21.26,"20181218_132113_024879",31859.92,"Non-canonical syllables",3
33101.65,"20181218_132113_024879",33102.4,"Can/non-can","3412.DB1","3131_1",21.26,"20181218_132113_024879",33102.4,"Non-canonical syllables",3
33115.41,"20181218_132113_024879",33116.23,"Can/non-can","6395.DB1","3131_1",21.26,"20181218_132113_024879",33116.23,"Non-canonical syllables",3
33131.86,"20181218_132113_024879",33132.59,"Can/non-can","5268.DB1","3131_1",21.26,"20181218_132113_024879",33132.59,"Non-canonical syllables",3
33181.53,"20181218_132113_024879",33182.21,"Can/non-can","3269.DB1","3131_1",21.26,"20181218_132113_024879",33182.21,"Don't mark",3
