"","segmentId_DB","Answer","ChildID","Age_months_actual","filename","Starttime","Endtime","Major_Choice","Num_Agreement"
"5329","20762.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37920.76,37922.08,"Crying",3
"5330","20764.DB1","Crying","3681_1",4.67,"20181023_153740_024881",42583.83,42584.7,"Laughing",2
"5331","20767.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37780.87,37782.07,"Crying",3
"5332","20771.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44621.54,44623.1,"Non-canonical syllables",3
"5333","20775.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44143.81,44144.81,"Non-canonical syllables",3
"5334","20776.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43690.03,43690.63,"Crying",3
"5335","20777.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42472.35,42479.95,"Crying",3
"5336","20778.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37963.39,37964.15,"Non-canonical syllables",3
"5337","20779.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44427.88,44428.48,"Non-canonical syllables",3
"5338","2078.DB2","Non-Canonical","3491_7",16.26,"20180808_111325_024882",10323.47,10324.52,"Non-canonical syllables",3
"5339","20781.DB1","Junk","3681_1",4.67,"20181023_153740_024881",19725.8,19726.57,"Don't mark",3
"5340","20782.DB1","Laughing","3681_1",4.67,"20181023_153740_024881",37856.66,37857.7,"Crying",3
"5341","20783.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",38535.21,38537.63,"Crying",3
"5342","20785.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37984.64,37987.07,"Crying",3
"5343","20786.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",40930.81,40931.72,"Non-canonical syllables",2
"5344","20787.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43093.33,43097.26,"Non-canonical syllables",2
"5345","20788.DB1","Crying","3681_1",4.67,"20181023_153740_024881",38036.92,38038.1,"Crying",2
"5346","20790.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43664.59,43665.23,"Crying",2
"5347","20794.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37884.64,37886.62,"Crying",3
"5348","20800.DB1","Canonical","3681_1",4.67,"20181023_153740_024881",37861.93,37863.66,"Crying",2
"5349","20801.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",43098.65,43100.18,"Non-canonical syllables",3
"5350","20806.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44382.4,44383.89,"Non-canonical syllables",2
"5351","20807.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37845.16,37845.85,"Crying",2
"5352","20808.DB1","Crying","3681_1",4.67,"20181023_153740_024881",38530.71,38531.71,"Crying",3
"5353","20813.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37556.19,37558.35,"Crying",3
"5354","20816.DB1","Laughing","3681_1",4.67,"20181023_153740_024881",37851.24,37852.32,"Crying",2
"5355","20821.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37918.28,37919.76,"Crying",3
"5356","20823.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",43583.77,43587.48,"Crying",3
"5357","20824.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",43636.81,43638.04,"Crying",3
"5358","20826.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37699.53,37700.54,"None",0
"5359","20827.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",43739,43740.04,"Don't mark",3
"5360","2083.DB2","Junk","3491_7",16.26,"20180808_111325_024882",32060.14,32060.74,"Don't mark",3
"5361","20830.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44388.93,44390.07,"Non-canonical syllables",3
"5362","20831.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44265.94,44267.37,"Non-canonical syllables",3
"5363","20836.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44368.53,44369.53,"Non-canonical syllables",3
"5364","20837.DB1","Laughing","3681_1",4.67,"20181023_153740_024881",42582.07,42582.83,"Crying",2
"5365","20842.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44373.4,44374.42,"Non-canonical syllables",3
"5366","20847.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37662.8,37663.44,"Crying",2
"5367","20848.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",43068.89,43077.95,"Crying",3
"5368","20851.DB1","Crying","3681_1",4.67,"20181023_153740_024881",40866.96,40868.02,"Don't mark",2
"5369","20855.DB1","","3681_1",4.67,"20181023_153740_024881",42669.04,42669.65,"Non-canonical syllables",3
"5370","20856.DB1","Junk","3681_1",4.67,"20181023_153740_024881",38631.44,38632.26,"Crying",2
"5371","20862.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37942.15,37942.86,"Non-canonical syllables",3
"5372","20863.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",38550.41,38551.26,"Non-canonical syllables",2
"5373","20868.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37679.05,37680.06,"Crying",3
"5374","20874.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",43202.06,43204.34,"Non-canonical syllables",3
"5375","20881.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43687.1,43687.7,"Crying",3
"5376","20882.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43541.35,43542.78,"Crying",3
"5377","20893.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42572.02,42579.22,"Crying",3
"5378","20895.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42540.07,42548.25,"Crying",3
"5379","20899.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43646.83,43648.85,"Crying",3
"5380","20900.DB1","Canonical","3681_1",4.67,"20181023_153740_024881",21476.72,21477.61,"Don't mark",3
"5381","20902.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43645.43,43646.03,"Crying",2
"5382","20907.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43763.93,43769.08,"Crying",2
"5383","20908.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43677.81,43679.69,"Crying",3
"5384","20913.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37788.26,37790.96,"Crying",3
"5385","20914.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37854.12,37856.66,"Crying",2
"5386","20917.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37907.24,37909.25,"Crying",3
"5387","20928.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37599.57,37602.1,"Crying",3
"5388","20931.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",21456.18,21456.78,"Non-canonical syllables",3
"5389","20933.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37846.97,37847.97,"Crying",3
"5390","20934.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37872.88,37873.89,"Crying",2
"5391","20936.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37857.7,37861.13,"Crying",2
"5392","20937.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37649.38,37652.26,"Crying",3
"5393","20941.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",37803.89,37805.01,"Crying",3
"5394","20944.DB1","","3681_1",4.67,"20181023_153740_024881",42610.48,42611.19,"Non-canonical syllables",3
"5395","20947.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42918.65,42919.33,"Non-canonical syllables",2
"5396","20948.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",42895.16,42896.24,"Non-canonical syllables",3
"5397","20957.DB1","Crying","3681_1",4.67,"20181023_153740_024881",40903.59,40905.3,"Non-canonical syllables",3
"5398","20960.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37546.36,37547.17,"Crying",2
"5399","20966.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43691.47,43693.08,"Crying",3
"5400","20970.DB1","Crying","3681_1",4.67,"20181023_153740_024881",42385.39,42387.08,"Crying",2
"5401","20971.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",44602.78,44603.38,"Non-canonical syllables",2
"5402","20981.DB1","Junk","3681_1",4.67,"20181023_153740_024881",43102.41,43103.21,"Don't mark",3
"5403","20986.DB1","Non-Canonical","3681_1",4.67,"20181023_153740_024881",38509.6,38512.54,"Crying",3
"5404","20988.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43746.46,43759.66,"Crying",2
"5405","20990.DB1","Crying","3681_1",4.67,"20181023_153740_024881",37809.6,37810.43,"Crying",2
"5406","20991.DB1","Crying","3681_1",4.67,"20181023_153740_024881",43661.32,43661.95,"Crying",2
