AudioData,ChildID,Age,onset,offset,chunk_pos
6526888489,1111_1,53.26,8123.09,8125.59,0
7979075470,1111_1,53.26,8123.09,8125.59,1
3288402772,1111_1,53.26,8123.09,8125.59,2
6253228312,1111_1,53.26,8123.09,8125.59,3
6099704119,1111_1,53.26,8123.09,8125.59,4
5242099923,1111_1,53.26,8132.50,8133.50,0
4029443659,1111_1,53.26,8132.50,8133.50,1
1618444229,1111_1,53.26,8138.92,8140.42,0
3256108931,1111_1,53.26,8138.92,8140.42,1
6496912174,1111_1,53.26,8138.92,8140.42,2
6035981758,1111_1,53.26,8142.73,8143.73,0
9364405793,1111_1,53.26,8142.73,8143.73,1
7234555816,1111_1,53.26,8144.62,8145.62,0
8291258125,1111_1,53.26,8144.62,8145.62,1
0273525761,1111_1,53.26,8157.98,8158.98,0
2997714211,1111_1,53.26,8157.98,8158.98,1
6945232995,1111_1,53.26,8161.76,8162.76,0
4151206736,1111_1,53.26,8161.76,8162.76,1
4304534519,1111_1,53.26,8166.93,8167.93,0
9197069356,1111_1,53.26,8166.93,8167.93,1
7189950009,1111_1,53.26,8171.70,8173.20,0
5431625598,1111_1,53.26,8171.70,8173.20,1
8722652374,1111_1,53.26,8171.70,8173.20,2
4256244317,1111_1,53.26,8175.48,8176.48,0
4360386876,1111_1,53.26,8175.48,8176.48,1
0534645827,1111_1,53.26,8178.88,8179.88,0
7877268388,1111_1,53.26,8178.88,8179.88,1
7748728111,1111_1,53.26,8181.01,8182.01,0
1732851151,1111_1,53.26,8181.01,8182.01,1
7067812585,1111_1,53.26,8189.30,8190.30,0
2762158086,1111_1,53.26,8189.30,8190.30,1
2392966018,1111_1,53.26,8190.91,8192.42,0
0054579957,1111_1,53.26,8190.91,8192.42,1
2313227123,1111_1,53.26,8190.91,8192.42,2
7936744335,1111_1,53.26,8192.96,8193.96,0
6952797056,1111_1,53.26,8192.96,8193.96,1
4709713560,1111_1,53.26,8204.64,8205.64,0
3511780701,1111_1,53.26,8204.64,8205.64,1
9813165154,1111_1,53.26,8205.33,8206.83,0
6366921654,1111_1,53.26,8205.33,8206.83,1
0028693968,1111_1,53.26,8205.33,8206.83,2
0241213807,1111_1,53.26,8209.49,8210.49,0
0279641858,1111_1,53.26,8209.49,8210.49,1
9030830111,1111_1,53.26,8224.88,8225.88,0
9874183345,1111_1,53.26,8224.88,8225.88,1
3838234447,1111_1,53.26,8225.83,8226.83,0
9819561990,1111_1,53.26,8225.83,8226.83,1
9950122485,1111_1,53.26,8226.67,8227.67,0
8701821567,1111_1,53.26,8226.67,8227.67,1
0950855473,1111_1,53.26,8230.24,8231.24,0
6650573237,1111_1,53.26,8230.24,8231.24,1
0563040244,1111_1,53.26,8236.10,8238.60,0
2383371120,1111_1,53.26,8236.10,8238.60,1
8779969903,1111_1,53.26,8236.10,8238.60,2
5133679691,1111_1,53.26,8236.10,8238.60,3
2186452746,1111_1,53.26,8236.10,8238.60,4
3292791678,1111_1,53.26,8238.99,8240.49,0
5304628377,1111_1,53.26,8238.99,8240.49,1
6046573403,1111_1,53.26,8238.99,8240.49,2
8562142902,1111_1,53.26,8246.58,8248.08,0
5998350421,1111_1,53.26,8246.58,8248.08,1
9200069621,1111_1,53.26,8246.58,8248.08,2
7109057979,1111_1,53.26,8249.68,8251.18,0
0657188852,1111_1,53.26,8249.68,8251.18,1
8711107491,1111_1,53.26,8249.68,8251.18,2
8376494736,1111_1,53.26,8309.56,8310.56,0
3883048237,1111_1,53.26,8309.56,8310.56,1
8205116778,1111_1,53.26,8312.20,8313.70,0
5364983920,1111_1,53.26,8312.20,8313.70,1
0720516660,1111_1,53.26,8312.20,8313.70,2
6176143783,1151_1,49.08,1013.34,1015.34,0
8294177052,1151_1,49.08,1013.34,1015.34,1
4232564262,1151_1,49.08,1013.34,1015.34,2
9277970570,1151_1,49.08,1013.34,1015.34,3
9965629952,1151_1,49.08,1021.92,1022.92,0
0150775922,1151_1,49.08,1021.92,1022.92,1
9869621022,1151_1,49.08,1033.20,1034.20,0
7474458455,1151_1,49.08,1033.20,1034.20,1
6760157138,1151_1,49.08,1038.87,1040.37,0
4837133853,1151_1,49.08,1038.87,1040.37,1
1152455252,1151_1,49.08,1038.87,1040.37,2
1268918671,1151_1,49.08,1044.45,1045.45,0
9283476470,1151_1,49.08,1044.45,1045.45,1
4572982571,1151_1,49.08,1062.04,1063.54,0
3400334176,1151_1,49.08,1062.04,1063.54,1
8105831726,1151_1,49.08,1062.04,1063.54,2
5096403780,1151_1,49.08,1078.11,1079.11,0
4947076249,1151_1,49.08,1078.11,1079.11,1
6724080389,1151_1,49.08,1082.28,1083.28,0
0947753854,1151_1,49.08,1082.28,1083.28,1
3343368239,1151_1,49.08,1096.39,1097.39,0
2345207085,1151_1,49.08,1096.39,1097.39,1
7440643059,1151_1,49.08,1098.33,1100.33,0
0614400848,1151_1,49.08,1098.33,1100.33,1
8592207187,1151_1,49.08,1098.33,1100.33,2
2167592682,1151_1,49.08,1098.33,1100.33,3
2192749344,1151_1,49.08,1127.38,1128.38,0
5777305151,1151_1,49.08,1127.38,1128.38,1
3055368675,1151_1,49.08,1138.23,1139.23,0
4029830413,1151_1,49.08,1138.23,1139.23,1
4523715317,1151_1,49.08,1146.63,1147.63,0
8176642428,1151_1,49.08,1146.63,1147.63,1
2143501204,1151_1,49.08,1154.51,1157.01,0
2217397994,1151_1,49.08,1154.51,1157.01,1
5373796761,1151_1,49.08,1154.51,1157.01,2
5365267947,1151_1,49.08,1154.51,1157.01,3
0087611209,1151_1,49.08,1154.51,1157.01,4
2084453106,1151_1,49.08,1162.77,1164.77,0
9749599856,1151_1,49.08,1162.77,1164.77,1
2336170691,1151_1,49.08,1162.77,1164.77,2
8496885971,1151_1,49.08,1162.77,1164.77,3
0598814310,1151_1,49.08,1186.30,1189.80,0
6769701884,1151_1,49.08,1186.30,1189.80,1
1428751148,1151_1,49.08,1186.30,1189.80,2
9543898255,1151_1,49.08,1186.30,1189.80,3
4183092414,1151_1,49.08,1186.30,1189.80,4
1096941851,1151_1,49.08,1186.30,1189.80,5
8520596645,1151_1,49.08,1186.30,1189.80,6
3825534531,1151_1,49.08,1214.96,1215.96,0
6797263941,1151_1,49.08,1214.96,1215.96,1
2242964059,1151_1,49.08,1248.18,1249.18,0
8598132522,1151_1,49.08,1248.18,1249.18,1
4976300527,1151_1,49.08,1271.80,1272.80,0
7550156766,1151_1,49.08,1271.80,1272.80,1
5647617237,1151_1,49.08,1304.09,1305.09,0
8881044171,1151_1,49.08,1304.09,1305.09,1
3268721122,1151_1,49.08,1308.78,1309.78,0
3558848181,1151_1,49.08,1308.78,1309.78,1
1299919509,1151_1,49.08,1313.71,1314.71,0
7835938875,1151_1,49.08,1313.71,1314.71,1
9200337749,1151_1,49.08,1317.12,1318.12,0
0634491594,1151_1,49.08,1317.12,1318.12,1
4330395858,1151_1,49.08,1323.56,1325.56,0
4316403591,1151_1,49.08,1323.56,1325.56,1
4371302793,1151_1,49.08,1323.56,1325.56,2
9260010750,1151_1,49.08,1323.56,1325.56,3
0262844408,1151_1,49.08,1326.25,1327.25,0
7865740995,1151_1,49.08,1326.25,1327.25,1
9341493979,1151_1,49.08,1331.92,1332.92,0
6760100481,1151_1,49.08,1331.92,1332.92,1
8400389692,1151_1,49.08,1347.41,1348.41,0
1653632519,1151_1,49.08,1347.41,1348.41,1
4635302545,1151_1,49.08,1348.84,1349.84,0
9900317778,1151_1,49.08,1348.84,1349.84,1
8566686887,1151_1,49.08,1353.31,1354.81,0
1243538391,1151_1,49.08,1353.31,1354.81,1
9710845553,1151_1,49.08,1353.31,1354.81,2
8566365077,1151_1,49.08,1356.51,1358.01,0
3947019174,1151_1,49.08,1356.51,1358.01,1
6248446813,1151_1,49.08,1356.51,1358.01,2
4183143702,1151_1,49.08,1360.84,1362.84,0
7284510604,1151_1,49.08,1360.84,1362.84,1
0726185409,1151_1,49.08,1360.84,1362.84,2
3413485106,1151_1,49.08,1360.84,1362.84,3
6307392325,1151_1,49.08,1371.75,1373.75,0
4331514675,1151_1,49.08,1371.75,1373.75,1
3625691635,1151_1,49.08,1371.75,1373.75,2
4530038827,1151_1,49.08,1371.75,1373.75,3
8043959247,1151_1,49.08,1383.18,1384.68,0
0044808971,1151_1,49.08,1383.18,1384.68,1
8410668848,1151_1,49.08,1383.18,1384.68,2
9916952634,1151_1,49.08,1401.55,1402.55,0
8827125848,1151_1,49.08,1401.55,1402.55,1
4453998598,1151_1,49.08,17931.96,17932.96,0
9166024416,1151_1,49.08,17931.96,17932.96,1
1316433858,1151_1,49.08,17935.36,17936.36,0
7995688893,1151_1,49.08,17935.36,17936.36,1
8919087507,1151_1,49.08,17940.36,17941.36,0
7576185381,1151_1,49.08,17940.36,17941.36,1
5726362294,1151_1,49.08,17941.97,17942.97,0
7002466843,1151_1,49.08,17941.97,17942.97,1
9227536507,1151_1,49.08,17952.75,17953.75,0
6242007410,1151_1,49.08,17952.75,17953.75,1
6007496991,1151_1,49.08,17962.91,17963.91,0
0158303495,1151_1,49.08,17962.91,17963.91,1
0727209892,1151_1,49.08,17976.23,17977.23,0
2553919042,1151_1,49.08,17976.23,17977.23,1
2709241273,1151_1,49.08,17980.72,17981.72,0
1485111167,1151_1,49.08,17980.72,17981.72,1
5154822552,1151_1,49.08,17999.97,18001.47,0
7053041256,1151_1,49.08,17999.97,18001.47,1
5392168684,1151_1,49.08,17999.97,18001.47,2
8224436391,1151_1,49.08,18005.01,18006.01,0
1686222790,1151_1,49.08,18005.01,18006.01,1
2454769871,1151_1,49.08,18007.86,18009.36,0
0629951650,1151_1,49.08,18007.86,18009.36,1
3087870831,1151_1,49.08,18007.86,18009.36,2
