idx,corpus,ChildID,AudioData,Age,child_gender,ID_cor
70,Casillas-Yeli,F07,0252720704.mp3,1.0,F,F07Casillas-Yeli
71,Casillas-Yeli,F07,0443365513.mp3,1.0,F,F07Casillas-Yeli
72,Casillas-Yeli,F07,0744753160.mp3,1.0,F,F07Casillas-Yeli
73,Casillas-Yeli,F07,0179558839.mp3,1.0,F,F07Casillas-Yeli
74,Casillas-Yeli,F07,0286477404.mp3,1.0,F,F07Casillas-Yeli
75,Casillas-Yeli,F07,0655369563.mp3,1.0,F,F07Casillas-Yeli
76,Casillas-Yeli,F07,0264546889.mp3,1.0,F,F07Casillas-Yeli
77,Casillas-Yeli,F07,0331456639.mp3,1.0,F,F07Casillas-Yeli
78,Casillas-Yeli,F07,0196200686.mp3,1.0,F,F07Casillas-Yeli
79,Casillas-Yeli,F07,0137530183.mp3,1.0,F,F07Casillas-Yeli
80,Casillas-Yeli,F07,0349252373.mp3,1.0,F,F07Casillas-Yeli
81,Casillas-Yeli,F07,0825636248.mp3,1.0,F,F07Casillas-Yeli
82,Casillas-Yeli,F07,0227863204.mp3,1.0,F,F07Casillas-Yeli
83,Casillas-Yeli,F07,0637756514.mp3,1.0,F,F07Casillas-Yeli
84,Casillas-Yeli,F07,0949994160.mp3,1.0,F,F07Casillas-Yeli
85,Casillas-Yeli,F07,0606095095.mp3,1.0,F,F07Casillas-Yeli
86,Casillas-Yeli,F07,0611967159.mp3,1.0,F,F07Casillas-Yeli
87,Casillas-Yeli,F07,0398518588.mp3,1.0,F,F07Casillas-Yeli
88,Casillas-Yeli,F07,0340873319.mp3,1.0,F,F07Casillas-Yeli
89,Casillas-Yeli,F07,0236889970.mp3,1.0,F,F07Casillas-Yeli
90,Casillas-Yeli,F07,0298510426.mp3,1.0,F,F07Casillas-Yeli
91,Casillas-Yeli,F07,0538374264.mp3,1.0,F,F07Casillas-Yeli
92,Casillas-Yeli,F07,0845659334.mp3,1.0,F,F07Casillas-Yeli
93,Casillas-Yeli,F07,0568910689.mp3,1.0,F,F07Casillas-Yeli
94,Casillas-Yeli,F07,0532894311.mp3,1.0,F,F07Casillas-Yeli
