AudioData,ChildID,Age,ITS,offset
0596214753,5E4E988900002028,374,e20200220_153526_008232,15406_48_15407_48
0782060642,5E4E988900002028,374,e20200220_153526_008232,15578_99_15580_32
0036748808,5E4E988900002028,374,e20200220_153526_008232,15578_99_15580_32
0876784864,5E4E988900002028,374,e20200220_153526_008232,15578_99_15580_32
0034943069,5E4E988900002028,374,e20200220_153526_008232,15578_99_15580_32
0708776089,5E4E988900002028,374,e20200220_153526_008232,15613_3_15613_9
0470817925,5E4E988900002028,374,e20200220_153526_008232,15613_3_15613_9
0282695407,5E4E988900002028,374,e20200220_153526_008232,15642_44_15643_69
0948084756,5E4E988900002028,374,e20200220_153526_008232,15642_44_15643_69
0927388339,5E4E988900002028,374,e20200220_153526_008232,15642_44_15643_69
0261838011,5E4E988900002028,374,e20200220_153526_008232,15914_97_15915_62
0030778667,5E4E988900002028,374,e20200220_153526_008232,15914_97_15915_62
0123016210,5E4E988900002028,374,e20200220_153526_008232,16301_35_16302_38
0402169463,5E4E988900002028,374,e20200220_153526_008232,16301_35_16302_38
0738602684,5E4E988900002028,374,e20200220_153526_008232,16301_35_16302_38
0691961468,5E4E988900002028,374,e20200220_153526_008232,16355_7_16356_49
0233389934,5E4E988900002028,374,e20200220_153526_008232,16355_7_16356_49
0426593787,5E4E988900002028,374,e20200220_153526_008232,16473_39_16474_44
0730595896,5E4E988900002028,374,e20200220_153526_008232,16473_39_16474_44
0453423054,5E4E988900002028,374,e20200220_153526_008232,16473_39_16474_44
0650389205,5E4E988900002028,374,e20200220_153526_008232,16526_16_16527_15
0851059627,5E4E988900002028,374,e20200220_153526_008232,16526_16_16527_15
0810792462,5E4E988900002028,374,e20200220_153526_008232,16526_16_16527_15
0420966383,5E4E988900002028,374,e20200220_153526_008232,16542_47_16543_07
0386500952,5E4E988900002028,374,e20200220_153526_008232,16542_47_16543_07
0661525174,5E4E988900002028,374,e20200220_153526_008232,16560_15_16560_85
0108209420,5E4E988900002028,374,e20200220_153526_008232,16560_15_16560_85
0123938981,5E4E988900002028,374,e20200220_153526_008232,16743_7_16744_65
0767049304,5E4E988900002028,374,e20200220_153526_008232,16743_7_16744_65
0305122870,5E4E988900002028,374,e20200220_153526_008232,16743_7_16744_65
0269354999,5E4E988900002028,374,e20200220_153526_008232,17146_14_17146_74
0924724237,5E4E988900002028,374,e20200220_153526_008232,17146_14_17146_74
0489127968,5E4E988900002028,374,e20200220_153526_008232,17172_26_17173_33
0445501746,5E4E988900002028,374,e20200220_153526_008232,17172_26_17173_33
0349194090,5E4E988900002028,374,e20200220_153526_008232,17172_26_17173_33
0963470477,5E4E988900002028,374,e20200220_153526_008232,17860_65_17861_38
0212534334,5E4E988900002028,374,e20200220_153526_008232,17860_65_17861_38
0982135764,5E4E988900002028,374,e20200220_153526_008232,1787_25_1787_85
0242902146,5E4E988900002028,374,e20200220_153526_008232,1787_25_1787_85
0420901808,5E4E988900002028,374,e20200220_153526_008232,17934_04_17935_42
0698814271,5E4E988900002028,374,e20200220_153526_008232,17934_04_17935_42
0380758729,5E4E988900002028,374,e20200220_153526_008232,17934_04_17935_42
0248025816,5E4E988900002028,374,e20200220_153526_008232,17934_04_17935_42
0614422781,5E4E988900002028,374,e20200220_153526_008232,17936_37_17937_57
0167722939,5E4E988900002028,374,e20200220_153526_008232,17936_37_17937_57
0508483333,5E4E988900002028,374,e20200220_153526_008232,17936_37_17937_57
0705915990,5E4E988900002028,374,e20200220_153526_008232,18049_76_18050_36
0824556306,5E4E988900002028,374,e20200220_153526_008232,18049_76_18050_36
0628893931,5E4E988900002028,374,e20200220_153526_008232,18118_73_18119_59
0996142402,5E4E988900002028,374,e20200220_153526_008232,18118_73_18119_59
0018028808,5E4E988900002028,374,e20200220_153526_008232,18636_37_18636_97
0113872500,5E4E988900002028,374,e20200220_153526_008232,18636_37_18636_97
0527978098,5E4E988900002028,374,e20200220_153526_008232,18638_57_18639_67
0547412424,5E4E988900002028,374,e20200220_153526_008232,18638_57_18639_67
0954478095,5E4E988900002028,374,e20200220_153526_008232,18638_57_18639_67
0765220267,5E4E988900002028,374,e20200220_153526_008232,19663_2_19663_93
0660763207,5E4E988900002028,374,e20200220_153526_008232,19663_2_19663_93
0684149253,5E4E988900002028,374,e20200220_153526_008232,19799_61_19800_22
0391753224,5E4E988900002028,374,e20200220_153526_008232,19799_61_19800_22
0206475624,5E4E988900002028,374,e20200220_153526_008232,19816_84_19817_44
0705348857,5E4E988900002028,374,e20200220_153526_008232,19816_84_19817_44
0706953309,5E4E988900002028,374,e20200220_153526_008232,20288_14_20288_76
0652106714,5E4E988900002028,374,e20200220_153526_008232,20288_14_20288_76
0213314480,5E4E988900002028,374,e20200220_153526_008232,20564_6_20565_85
0921048752,5E4E988900002028,374,e20200220_153526_008232,20564_6_20565_85
0774797025,5E4E988900002028,374,e20200220_153526_008232,20564_6_20565_85
0397094865,5E4E988900002028,374,e20200220_153526_008232,20938_62_20939_63
0927122980,5E4E988900002028,374,e20200220_153526_008232,20938_62_20939_63
0182010085,5E4E988900002028,374,e20200220_153526_008232,20938_62_20939_63
0304167184,5E4E988900002028,374,e20200220_153526_008232,21051_86_21052_46
0188154009,5E4E988900002028,374,e20200220_153526_008232,21051_86_21052_46
0365875236,5E4E988900002028,374,e20200220_153526_008232,22236_54_22237_17
0225275500,5E4E988900002028,374,e20200220_153526_008232,22236_54_22237_17
0499255889,5E4E988900002028,374,e20200220_153526_008232,22360_46_22362_32
0093795103,5E4E988900002028,374,e20200220_153526_008232,22360_46_22362_32
0031633017,5E4E988900002028,374,e20200220_153526_008232,22360_46_22362_32
0561379977,5E4E988900002028,374,e20200220_153526_008232,22360_46_22362_32
0798526842,5E4E988900002028,374,e20200220_153526_008232,22360_46_22362_32
0250399608,5E4E988900002028,374,e20200220_153526_008232,22509_06_22511_14
0659558890,5E4E988900002028,374,e20200220_153526_008232,22509_06_22511_14
0762073357,5E4E988900002028,374,e20200220_153526_008232,22509_06_22511_14
0077959123,5E4E988900002028,374,e20200220_153526_008232,22509_06_22511_14
0967072433,5E4E988900002028,374,e20200220_153526_008232,22509_06_22511_14
0510842238,5E4E988900002028,374,e20200220_153526_008232,2286_63_2287_57
0079744511,5E4E988900002028,374,e20200220_153526_008232,2286_63_2287_57
0449154290,5E4E988900002028,374,e20200220_153526_008232,2286_63_2287_57
0561442668,5E4E988900002028,374,e20200220_153526_008232,22881_91_22882_51
0951267846,5E4E988900002028,374,e20200220_153526_008232,22881_91_22882_51
0956557607,5E4E988900002028,374,e20200220_153526_008232,22918_1_22918_86
0984914206,5E4E988900002028,374,e20200220_153526_008232,22918_1_22918_86
0041328097,5E4E988900002028,374,e20200220_153526_008232,23236_83_23237_76
0656484614,5E4E988900002028,374,e20200220_153526_008232,23236_83_23237_76
