idx,segmentId_DB,ChildID,Age,filename,Starttime,Endtime,Major_Choice,Num_Agreement,Zoon_classif
720,6517.DB1,1151_1,49.08,20181206_151905_022874,28438.76,28439.4,Canonical syllables,3,Non-Canonical
721,4434.DB1,1151_1,49.08,20181206_151905_022874,28441.15,28442.27,Don't mark,3,Canonical
722,5400.DB1,1151_1,49.08,20181206_151905_022874,28442.27,28442.91,Don't mark,3,Canonical
723,5629.DB1,1151_1,49.08,20181206_151905_022874,28445.84,28446.87,Non-canonical syllables,3,Non-Canonical
724,7155.DB1,1151_1,49.08,20181206_151905_022874,28448.16,28448.76,Don't mark,2,Non-Canonical
725,6924.DB1,1151_1,49.08,20181206_151905_022874,28450.68,28451.28,Don't mark,3,Junk
726,3097.DB1,1151_1,49.08,20181206_151905_022874,28452.82,28453.42,Don't mark,3,Canonical
727,2673.DB1,1151_1,49.08,20181206_151905_022874,28453.42,28454.45,Don't mark,2,Canonical
728,3136.DB1,1151_1,49.08,20181206_151905_022874,28455.4,28458.14,Don't mark,2,Canonical
729,3722.DB1,1151_1,49.08,20181206_151905_022874,28459.36,28460.96,Non-canonical syllables,2,Non-Canonical
730,6164.DB1,1151_1,49.08,20181206_151905_022874,28465.61,28466.46,Canonical syllables,3,Non-Canonical
731,2648.DB1,1151_1,49.08,20181206_151905_022874,28468.39,28469.14,Non-canonical syllables,3,Non-Canonical
732,3559.DB1,1151_1,49.08,20181206_151905_022874,28486.4,28487.26,Non-canonical syllables,3,Non-Canonical
733,3206.DB1,1151_1,49.08,20181206_151905_022874,28521.63,28522.23,Non-canonical syllables,2,Non-Canonical
734,6178.DB1,1151_1,49.08,20181206_151905_022874,28524.39,28524.99,Non-canonical syllables,3,Canonical
735,4240.DB1,1151_1,49.08,20181206_151905_022874,28530.89,28532.0,Non-canonical syllables,3,Canonical
736,6663.DB1,1151_1,49.08,20181206_151905_022874,28541.83,28544.77,None,0,Mixed_Non-Canonical_Laughing
737,6001.DB1,1151_1,49.08,20181206_151905_022874,28548.86,28550.03,Canonical syllables,2,Non-Canonical
738,5253.DB1,1151_1,49.08,20181206_151905_022874,28550.84,28552.24,Non-canonical syllables,3,Mixed_Non-Canonical_Laughing
739,4795.DB1,1151_1,49.08,20181206_151905_022874,28554.64,28555.24,Canonical syllables,2,Junk
740,2660.DB1,1151_1,49.08,20181206_151905_022874,28557.04,28559.02,Don't mark,3,Non-Canonical
741,7120.DB1,1151_1,49.08,20181206_151905_022874,28577.93,28578.64,Non-canonical syllables,3,Junk
742,5196.DB1,1151_1,49.08,20181206_151905_022874,28585.11,28585.71,Non-canonical syllables,3,Non-Canonical
743,7219.DB1,1151_1,49.08,20181206_151905_022874,28604.42,28605.02,Don't mark,2,Junk
744,6326.DB1,1151_1,49.08,20181206_151905_022874,28641.99,28642.59,Non-canonical syllables,3,Non-Canonical
745,3288.DB1,1151_1,49.08,20181206_151905_022874,28649.93,28650.53,Non-canonical syllables,3,Non-Canonical
746,2589.DB1,1151_1,49.08,20181206_151905_022874,28660.24,28661.4,Canonical syllables,2,Non-Canonical
747,4060.DB1,1151_1,49.08,20181206_151905_022874,28662.26,28662.88,Non-canonical syllables,2,Junk
748,5566.DB1,1151_1,49.08,20181206_151905_022874,28665.06,28666.82,Non-canonical syllables,3,Non-Canonical
749,7313.DB1,1151_1,49.08,20181206_151905_022874,28667.74,28668.34,Non-canonical syllables,3,Junk
750,4791.DB1,1151_1,49.08,20181206_151905_022874,28669.14,28671.01,Don't mark,2,Mixed_Non-Canonical_Laughing
