"","chunk_info","Answer","nvotes","sumvotes","ChildID","filename"
"1111_1 0744764408.mp3 29935.75 0","1111_1 0744764408.mp3 29935.75 0","Non-Canonical","4","5","1111_1","0744764408.mp3"
"1111_1 0746874111.mp3 28728.11 0","1111_1 0746874111.mp3 28728.11 0","Non-Canonical","3","5","1111_1","0746874111.mp3"
"1111_1 0761068586.mp3 36098.27 0","1111_1 0761068586.mp3 36098.27 0","","2","5","1111_1","0761068586.mp3"
"1111_1 0786552490.mp3 20551.88 1","1111_1 0786552490.mp3 20551.88 1","Non-Canonical","4","5","1111_1","0786552490.mp3"
"1111_1 0809046083.mp3 35964.84 0","1111_1 0809046083.mp3 35964.84 0","Non-Canonical","3","5","1111_1","0809046083.mp3"
"1111_1 0810191173.mp3 25210.34 0","1111_1 0810191173.mp3 25210.34 0","Non-Canonical","4","5","1111_1","0810191173.mp3"
"1111_1 0813711575.mp3 21920.23 1","1111_1 0813711575.mp3 21920.23 1","Non-Canonical","4","5","1111_1","0813711575.mp3"
"1111_1 0825974208.mp3 19708.85 0","1111_1 0825974208.mp3 19708.85 0","Non-Canonical","3","5","1111_1","0825974208.mp3"
"1111_1 0834447838.mp3 32377.44 0","1111_1 0834447838.mp3 32377.44 0","Non-Canonical","3","5","1111_1","0834447838.mp3"
"1111_1 0845583423.mp3 6546.4 2","1111_1 0845583423.mp3 6546.4 2","Non-Canonical","3","5","1111_1","0845583423.mp3"
"1111_1 0864270060.mp3 19695.58 0","1111_1 0864270060.mp3 19695.58 0","Non-Canonical","3","5","1111_1","0864270060.mp3"
"1111_1 0873246957.mp3 35389.56 1","1111_1 0873246957.mp3 35389.56 1","Non-Canonical","3","5","1111_1","0873246957.mp3"
"1111_1 0887125515.mp3 22014.96 0","1111_1 0887125515.mp3 22014.96 0","Non-Canonical","3","5","1111_1","0887125515.mp3"
"1111_1 0905481193.mp3 35875.44 1","1111_1 0905481193.mp3 35875.44 1","Non-Canonical","3","5","1111_1","0905481193.mp3"
"1111_1 0915412603.mp3 22025.96 0","1111_1 0915412603.mp3 22025.96 0","Non-Canonical","4","5","1111_1","0915412603.mp3"
"1111_1 0915984249.mp3 24950.25 0","1111_1 0915984249.mp3 24950.25 0","","2","5","1111_1","0915984249.mp3"
"1111_1 0918337457.mp3 35705.16 0","1111_1 0918337457.mp3 35705.16 0","Non-Canonical","5","5","1111_1","0918337457.mp3"
"1111_1 0921591182.mp3 28770.84 2","1111_1 0921591182.mp3 28770.84 2","Non-Canonical","4","5","1111_1","0921591182.mp3"
"1111_1 0922759926.mp3 6738.84 0","1111_1 0922759926.mp3 6738.84 0","Non-Canonical","3","5","1111_1","0922759926.mp3"
"1111_1 0923288868.mp3 20498.31 0","1111_1 0923288868.mp3 20498.31 0","Laughing","3","5","1111_1","0923288868.mp3"
"1111_1 0927795264.mp3 29749.6 1","1111_1 0927795264.mp3 29749.6 1","Non-Canonical","4","5","1111_1","0927795264.mp3"
"1111_1 0930369596.mp3 24954.16 1","1111_1 0930369596.mp3 24954.16 1","Non-Canonical","3","5","1111_1","0930369596.mp3"
"1111_1 0932906521.mp3 35586.01 0","1111_1 0932906521.mp3 35586.01 0","Non-Canonical","3","5","1111_1","0932906521.mp3"
"1111_1 0934927195.mp3 35721.48 1","1111_1 0934927195.mp3 35721.48 1","Non-Canonical","4","5","1111_1","0934927195.mp3"
"1111_1 0950855473.mp3 8230.24 0","1111_1 0950855473.mp3 8230.24 0","Non-Canonical","5","5","1111_1","0950855473.mp3"
"1111_1 0956776091.mp3 22736.19 0","1111_1 0956776091.mp3 22736.19 0","Non-Canonical","3","5","1111_1","0956776091.mp3"
"1111_1 0969823986.mp3 6386.17 1","1111_1 0969823986.mp3 6386.17 1","Junk","3","5","1111_1","0969823986.mp3"
"1111_1 0971347291.mp3 35751.38 1","1111_1 0971347291.mp3 35751.38 1","Non-Canonical","3","5","1111_1","0971347291.mp3"
"1111_1 0979268801.mp3 36086.16 1","1111_1 0979268801.mp3 36086.16 1","","2","5","1111_1","0979268801.mp3"
"1111_1 0988989312.mp3 44807.79 0","1111_1 0988989312.mp3 44807.79 0","","2","5","1111_1","0988989312.mp3"
"1111_1 1000750320.mp3 28844.64 2","1111_1 1000750320.mp3 28844.64 2","Non-Canonical","3","5","1111_1","1000750320.mp3"
"1111_1 1010028642.mp3 35401.5 1","1111_1 1010028642.mp3 35401.5 1","Non-Canonical","4","5","1111_1","1010028642.mp3"
"1111_1 1010749412.mp3 29872.01 1","1111_1 1010749412.mp3 29872.01 1","Non-Canonical","3","5","1111_1","1010749412.mp3"
"1111_1 1012006823.mp3 22745.17 1","1111_1 1012006823.mp3 22745.17 1","Crying","4","5","1111_1","1012006823.mp3"
"1111_1 1030268005.mp3 35530.62 1","1111_1 1030268005.mp3 35530.62 1","Non-Canonical","3","5","1111_1","1030268005.mp3"
"1111_1 1033328506.mp3 35366.23 1","1111_1 1033328506.mp3 35366.23 1","Non-Canonical","4","5","1111_1","1033328506.mp3"
"1111_1 1039265933.mp3 40032.74 1","1111_1 1039265933.mp3 40032.74 1","Non-Canonical","5","5","1111_1","1039265933.mp3"
"1111_1 1041357212.mp3 35678.6 0","1111_1 1041357212.mp3 35678.6 0","","2","5","1111_1","1041357212.mp3"
"1111_1 1043140819.mp3 35856.14 0","1111_1 1043140819.mp3 35856.14 0","Non-Canonical","4","5","1111_1","1043140819.mp3"
"1111_1 1062650807.mp3 35985.08 1","1111_1 1062650807.mp3 35985.08 1","Non-Canonical","3","5","1111_1","1062650807.mp3"
"1111_1 1065144191.mp3 35867.1 1","1111_1 1065144191.mp3 35867.1 1","Non-Canonical","5","5","1111_1","1065144191.mp3"
"1111_1 1082766132.mp3 21973.6 0","1111_1 1082766132.mp3 21973.6 0","Non-Canonical","4","5","1111_1","1082766132.mp3"
"1111_1 1088588726.mp3 39540.12 0","1111_1 1088588726.mp3 39540.12 0","Non-Canonical","4","5","1111_1","1088588726.mp3"
"1111_1 1095756204.mp3 24847.03 1","1111_1 1095756204.mp3 24847.03 1","Non-Canonical","5","5","1111_1","1095756204.mp3"
"1111_1 1104896652.mp3 35657.19 1","1111_1 1104896652.mp3 35657.19 1","Non-Canonical","3","5","1111_1","1104896652.mp3"
"1111_1 1105994113.mp3 22056.47 0","1111_1 1105994113.mp3 22056.47 0","Non-Canonical","4","5","1111_1","1105994113.mp3"
"1111_1 1107462633.mp3 35499.26 1","1111_1 1107462633.mp3 35499.26 1","Non-Canonical","3","5","1111_1","1107462633.mp3"
"1111_1 1115712763.mp3 36229.66 1","1111_1 1115712763.mp3 36229.66 1","Non-Canonical","4","5","1111_1","1115712763.mp3"
"1111_1 1118760978.mp3 24950.25 1","1111_1 1118760978.mp3 24950.25 1","","2","5","1111_1","1118760978.mp3"
"1111_1 1127227655.mp3 24979.87 1","1111_1 1127227655.mp3 24979.87 1","Non-Canonical","4","5","1111_1","1127227655.mp3"
"1111_1 1140758816.mp3 35368.11 0","1111_1 1140758816.mp3 35368.11 0","Non-Canonical","4","5","1111_1","1140758816.mp3"
"1111_1 1145035554.mp3 28698.4 0","1111_1 1145035554.mp3 28698.4 0","Non-Canonical","5","5","1111_1","1145035554.mp3"
"1111_1 1156303919.mp3 21900.25 1","1111_1 1156303919.mp3 21900.25 1","Non-Canonical","4","5","1111_1","1156303919.mp3"
"1111_1 1157445147.mp3 25286.3 1","1111_1 1157445147.mp3 25286.3 1","Junk","5","5","1111_1","1157445147.mp3"
"1111_1 1172283475.mp3 22004.6 0","1111_1 1172283475.mp3 22004.6 0","Non-Canonical","4","5","1111_1","1172283475.mp3"
"1111_1 1173719125.mp3 35900.33 1","1111_1 1173719125.mp3 35900.33 1","","2","5","1111_1","1173719125.mp3"
"1111_1 1176118459.mp3 35799.56 0","1111_1 1176118459.mp3 35799.56 0","Canonical","3","5","1111_1","1176118459.mp3"
"1111_1 1186044552.mp3 24893.72 2","1111_1 1186044552.mp3 24893.72 2","Non-Canonical","3","5","1111_1","1186044552.mp3"
"1111_1 1200505053.mp3 19666.52 0","1111_1 1200505053.mp3 19666.52 0","","2","5","1111_1","1200505053.mp3"
"1111_1 1200728977.mp3 21998.99 0","1111_1 1200728977.mp3 21998.99 0","Non-Canonical","4","5","1111_1","1200728977.mp3"
"1111_1 1206109799.mp3 28730.76 1","1111_1 1206109799.mp3 28730.76 1","Non-Canonical","3","5","1111_1","1206109799.mp3"
"1111_1 1222539277.mp3 6372.69 2","1111_1 1222539277.mp3 6372.69 2","Non-Canonical","3","5","1111_1","1222539277.mp3"
